config,algo,property,value,percentage_best,best_timesPerConfiguration_len,best_timesPerConfiguration_mean,best_timesPerConfiguration_median,best_timesPerConfiguration_stdev,notbest_timesPerConfiguration_len,notbest_timesPerConfiguration_mean,notbest_timesPerConfiguration_median,notbest_timesPerConfiguration_stdev,timesPerConfiguration_Mann-Whitney_U_stat,timesPerConfiguration_Mann-Whitney_U_p
CompleteGumtreeMatcher-GT_BUM_SZT-1900,CompleteGumtreeMatcher,GT_BUM_SZT,1900,0.5779764125444454,759120,520.1549820845189,135.0,930.8626345822914,554290,453.07301953850873,43.0,985.7209403179543,172045891744.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SZT-2000,CompleteGumtreeMatcher,GT_BUM_SZT,2000,0.584852707157922,768128,562.7961420492418,139.0,1034.5180094449734,545242,502.8736414289435,51.0,1090.7804134251558,174942408754.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.2,CompleteGumtreeMatcher,GT_BUM_SMT,0.2,0.43286996351628454,1137829,302.05915300102214,75.0,621.5269361478273,1490741,165.67384341076016,7.0,542.8911108080849,494248287803.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.3,CompleteGumtreeMatcher,GT_BUM_SMT,0.3,0.43488550808995,1143127,302.3474207152836,75.0,622.8637484195451,1485443,162.73490938393462,7.0,535.1503484091684,487759778540.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.4,CompleteGumtreeMatcher,GT_BUM_SMT,0.4,0.43713425931209743,1149038,302.6048303015218,75.0,625.3230765495363,1479532,159.5464268430828,7.0,529.3965093932176,480268418521.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.5,CompleteGumtreeMatcher,GT_BUM_SMT,0.5,0.4392171408788809,1154513,301.81203416505485,75.0,623.9017504245008,1474057,155.70243891518442,6.0,522.8076461472419,471832552849.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.6,CompleteGumtreeMatcher,GT_BUM_SMT,0.6,0.4405030111429408,1157893,299.47914962781533,75.0,618.0554654406968,1470677,151.36857923255752,6.0,512.1869943237583,462996646102.0,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.7,CompleteGumtreeMatcher,GT_BUM_SMT,0.7,0.4416835009149461,1160996,295.70533920874834,75.0,606.7085092895014,1467574,145.59510798092634,6.0,497.82829935130223,453428947886.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.8,CompleteGumtreeMatcher,GT_BUM_SMT,0.8,0.44286382220605797,1164099,291.49720771171525,75.0,591.5597818828608,1464472,138.3107242746874,6.0,480.2324999970428,442480485169.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-0.9,CompleteGumtreeMatcher,GT_BUM_SMT,0.9,0.44354801279783307,1165897,286.782657473173,75.0,574.8589760676495,1462673,128.55795314468784,5.0,445.88172341144417,431515818169.5,0.00000
CompleteGumtreeMatcher-GT_BUM_SMT-1,CompleteGumtreeMatcher,GT_BUM_SMT,1,0.44373366507264406,1166385,279.7292343437201,75.0,545.9753963846932,1462185,118.69009598648597,5.0,394.64316515093566,425765328086.0,0.00000
XyMatcher-GT_STM_MH-1,XyMatcher,GT_STM_MH,1,0.29518295402151157,39053,4.106445087445267,1.0,34.71506487798972,93248,4.477039722031572,2.0,45.88374899045265,1729813366.5,0.00000
XyMatcher-GT_XYM_SIM-0.2,XyMatcher,GT_XYM_SIM,0.2,0.0907614823723972,12074,4.927364585058804,1.0,44.47278923028928,120956,4.429420615761103,2.0,33.843037208417954,723365516.0,0.04117
XyMatcher-GT_STM_MH-2,XyMatcher,GT_STM_MH,2,0.0007072987208427389,94,0.6595744680851063,0.0,1.249113160583645,132806,4.136115838139843,1.0,41.81932993925004,2961458.5,0.00000
XyMatcher-GT_STM_MH-3,XyMatcher,GT_STM_MH,3,0.00015048908954100828,20,0.15,0.0,0.3663475485325232,132880,4.027980132450331,1.0,42.32019931174476,362390.0,0.00000
XyMatcher-GT_STM_MH-4,XyMatcher,GT_STM_MH,4,0.00015034767900770532,20,0.2,0.0,0.41039134083406165,133005,4.03269050035713,1.0,42.96795333906106,390298.0,0.00000
XyMatcher-GT_STM_MH-5,XyMatcher,GT_STM_MH,5,0.0001490757304710793,20,0.1,0.0,0.30779350562554625,134140,4.057462352765767,1.0,42.460099929599096,325767.0,0.00000
XyMatcher-GT_XYM_SIM-0.4,XyMatcher,GT_XYM_SIM,0.4,0.08092850538596268,10766,4.154932193943897,1.0,43.93693023702372,122265,4.048378522062732,1.0,32.57484835894418,634452060.0,0.00000
XyMatcher-GT_XYM_SIM-0.6,XyMatcher,GT_XYM_SIM,0.6,0.06300550227006224,8382,3.615724170842281,1.0,12.067696965577596,124654,3.991737128371332,1.0,36.74128516375608,501320941.0,0.00000
XyMatcher-GT_XYM_SIM-0.8,XyMatcher,GT_XYM_SIM,0.8,0.043182501503307276,5745,3.4953872932985206,1.0,13.149624583984671,127295,3.9744687536823915,1.0,39.60782232296039,344629275.0,0.00000
XyMatcher-GT_XYM_SIM-1,XyMatcher,GT_XYM_SIM,1,0.016823258154398456,2240,2.601339285714286,1.0,8.825006999458054,130909,4.189123742447044,1.0,62.88663438395646,115901494.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.1,SimpleGumtree,GT_BUM_SMT_SBUP,0.1,0.456686291000841,60816,5.1246875822152065,2.0,48.23616732731854,72352,4.575920499778859,2.0,30.391521506212,2139914037.5,0.00000
SimpleGumtree-GT_STM_MH-1,SimpleGumtree,GT_STM_MH,1,0.696272028920018,92451,5.4699137921709875,2.0,46.3542298482731,40329,5.323910833395323,2.0,24.14237742723988,1760746913.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.3,SimpleGumtree,GT_BUM_SMT_SBUP,0.3,0.4566787816892947,60815,4.914231686261613,1.0,47.22157219807091,72353,4.471120755186378,2.0,30.20920483680773,2127951903.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.5,SimpleGumtree,GT_BUM_SMT_SBUP,0.5,0.4566787816892947,60815,4.839644824467648,1.0,47.23662405268569,72353,4.4117866570840185,2.0,29.787642002153664,2122019496.5,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.7,SimpleGumtree,GT_BUM_SMT_SBUP,0.7,0.4566787816892947,60815,4.783014059031489,1.0,47.18125771858954,72353,4.37112490152447,2.0,29.331173384595587,2126485320.0,0.00000
SimpleGumtree-GT_BUM_SMT_SBUP-0.9,SimpleGumtree,GT_BUM_SMT_SBUP,0.9,0.4566787816892947,60815,4.747808928718244,1.0,47.194292022298306,72353,4.348941992730087,2.0,29.7040836584713,2124466918.0,0.00000
SimpleGumtree-GT_STM_MH-2,SimpleGumtree,GT_STM_MH,2,0.5396127091558564,71755,4.921162288342276,1.0,49.521656324470314,61220,4.569078732440379,2.0,18.750411274576198,2068369428.0,0.00000
SimpleGumtree-GT_STM_MH-3,SimpleGumtree,GT_STM_MH,3,0.4208946262383669,56080,4.62432239657632,1.0,51.412196878202565,77160,4.383761016070503,2.0,25.727313345655645,2050203992.5,0.00000
SimpleGumtree-GT_STM_MH-4,SimpleGumtree,GT_STM_MH,4,0.34314313563769966,45765,4.60725445209221,1.0,56.06839139306756,87605,4.179978311740197,2.0,23.925349463428063,1908922180.0,0.00000
SimpleGumtree-GT_STM_MH-5,SimpleGumtree,GT_STM_MH,5,0.28488480988949244,38025,4.0884155161078235,1.0,21.056090587945096,95450,4.251859612362494,2.0,43.04457642085338,1758256121.5,0.00000
